,Country,Time,Actual_Net_Migration,Predicted_Net_Migration
13176,Algeria,2022,-9.999,-9.99578468820331
13177,Algeria,2023,-9.999,-10.003447432396303
13178,Algeria,2024,-9.999,-9.99953865468462
13179,Algeria,2025,-9.999,-9.998609731887232
13180,Algeria,2026,-9.999,-9.99667350395879
13181,Algeria,2027,-9.999,-10.00615499775803
13182,Algeria,2028,-9.999,-9.997752726879073
13183,Algeria,2029,-9.999,-9.998216139756591
13184,Algeria,2030,-9.999,-10.002795565961856
13185,Algeria,2031,-9.999,-10.009364516399124
13186,Algeria,2032,-9.999,-9.991790224699688
13187,Algeria,2033,-9.999,-10.000764501938278
13188,Algeria,2034,-9.999,-9.995734509365562
13189,Algeria,2035,-9.999,-10.005695771403161
13190,Algeria,2036,-9.999,-9.99420994927255
13191,Algeria,2037,-9.999,-10.012035693527867
13192,Algeria,2038,-9.999,-9.986105845012949
13193,Algeria,2039,-9.999,-10.002931727231113
13194,Algeria,2040,-9.999,-10.016447386374349
13195,Algeria,2041,-9.999,-9.984972301765525
13196,Algeria,2042,-9.999,-9.999815596238674
13197,Algeria,2043,-9.999,-9.99234376768716
13198,Algeria,2044,-9.999,-10.0063042840045
13199,Algeria,2045,-9.999,-9.998285639029973
13200,Algeria,2046,-9.999,-10.002262353086504
13201,Algeria,2047,-9.999,-10.001804624837828
13202,Algeria,2048,-9.999,-9.999673502349575
13203,Algeria,2049,-9.999,-9.997229903771366
13204,Algeria,2050,-9.999,-10.003225072287025
13205,American Samoa,2021,-1.646,-1.6574128153411827
13206,American Samoa,2022,-0.81,-0.8024405390960089
13207,American Samoa,2023,-0.79,-0.7944807594590884
13208,American Samoa,2024,-0.77,-0.7665392410390257
13209,American Samoa,2025,-0.75,-0.7630741978619919
13210,American Samoa,2026,-0.73,-0.7224868884468529
13211,American Samoa,2027,-0.71,-0.7069067176499222
13212,American Samoa,2028,-0.69,-0.700456222328052
13213,American Samoa,2029,-0.67,-0.6724284416815391
13214,American Samoa,2030,-0.651,-0.6493604270309872
13215,American Samoa,2031,-0.631,-0.6312711428992897
13216,American Samoa,2032,-0.61,-0.6141764752700533
13217,American Samoa,2033,-0.588,-0.5861014199539849
13218,American Samoa,2034,-0.564,-0.5680229259826312
13219,American Samoa,2035,-0.54,-0.5399809520410112
13220,American Samoa,2036,-0.515,-0.5079599114326612
13221,American Samoa,2037,-0.491,-0.4943716509869789
13222,American Samoa,2038,-0.47,-0.47891049925682916
13223,American Samoa,2039,-0.449,-0.44287312497901604
13224,American Samoa,2040,-0.43,-0.43626164536114154
13225,American Samoa,2041,-0.411,-0.41180127139871625
13226,American Samoa,2042,-0.393,-0.39379156183519165
13227,American Samoa,2043,-0.376,-0.37125410000526715
13228,American Samoa,2044,-0.356,-0.3588350243260006
13229,American Samoa,2045,-0.336,-0.3398518981589537
13230,American Samoa,2046,-0.319,-0.317882392345076
13231,American Samoa,2047,-0.309,-0.30336013179148086
13232,American Samoa,2048,-0.308,-0.31295139075884565
13233,American Samoa,2049,-0.308,-0.3139982835249519
13234,American Samoa,2050,-0.308,-0.30551556250219697
13235,Andorra,2021,1.377,1.3805419798029424
13236,Andorra,2022,0.2,0.1976160508089367
13237,Andorra,2023,0.2,0.19621608323986928
13238,Andorra,2024,0.2,0.20463926476353636
13239,Andorra,2025,0.2,0.1931046069847185
13240,Andorra,2026,0.2,0.197579476202611
13241,Andorra,2027,0.2,0.19597841145507713
13242,Andorra,2028,0.2,0.19834875841310035
13243,Andorra,2029,0.2,0.20285686849315582
13244,Andorra,2030,0.2,0.19526814892191752
13245,Andorra,2031,0.2,0.19879179854812457
13246,Andorra,2032,0.2,0.18831247781507968
13247,Andorra,2033,0.2,0.2117022845086465
13248,Andorra,2034,0.2,0.1946860011394478
13249,Andorra,2035,0.2,0.20569390691646766
13250,Andorra,2036,0.2,0.18668582891362148
13251,Andorra,2037,0.2,0.19366524846274819
13252,Andorra,2038,0.2,0.20867956634875184
13253,Andorra,2039,0.2,0.19467680044868255
13254,Andorra,2040,0.2,0.1986915225037738
13255,Andorra,2041,0.2,0.19271319780572713
13256,Andorra,2042,0.2,0.2007415262380897
13257,Andorra,2043,0.2,0.19178286876276876
13258,Andorra,2044,0.2,0.19881497617839125
13259,Andorra,2045,0.2,0.19984323127277054
13260,Andorra,2046,0.2,0.19785909861752607
13261,Andorra,2047,0.2,0.20089394463281146
13262,Andorra,2048,0.2,0.19096310421147636
13263,Andorra,2049,0.2,0.20143532629689664
13264,Andorra,2050,0.2,0.19602707397613964
13265,Angola,2021,29.089,29.08217610349882
13266,Angola,2022,-1.0,-0.9949909816082936
13267,Angola,2023,-1.0,-1.0086869069480529
13268,Angola,2024,-1.0,-0.9966929741849693
13269,Angola,2025,-1.0,-0.9997113224298309
13270,Angola,2026,-1.0,-0.9977329160990434
13271,Angola,2027,-1.0,-1.0027580082635736
13272,Angola,2028,-1.0,-0.9927815316754875
13273,Angola,2029,-1.0,-1.006812524893982
13274,Angola,2030,-1.0,-1.004840034027249
13275,Angola,2031,-1.0,-0.9998745463081977
13276,Angola,2032,-1.0,-1.008910641085699
13277,Angola,2033,-1.0,-0.9949439597995497
13278,Angola,2034,-1.0,-1.002418706502686
13279,Angola,2035,-1.0,-1.0014489305363177
13280,Angola,2036,-1.0,-0.9910441748321701
13281,Angola,2037,-1.0,-1.0020759534595713
13282,Angola,2038,-1.0,-1.006108602224662
13283,Angola,2039,-1.0,-0.994137917649178
13284,Angola,2040,-1.0,-1.0085977663432903
13285,Angola,2041,-1.0,-1.0097410611077167
13286,Angola,2042,-1.0,-0.9912129837788455
13287,Angola,2043,-1.0,-1.003675180177605
13288,Angola,2044,-1.0,-0.9947116015355626
13289,Angola,2045,-1.0,-1.003740120111414
13290,Angola,2046,-1.0,-1.002327866645216
13291,Angola,2047,-1.0,-0.9993693464995801
13292,Angola,2048,-1.0,-1.002387617597872
13293,Angola,2049,-1.0,-1.0064245758101817
13294,Angola,2050,-1.0,-1.00545969385612
13295,Antigua and Barbuda,2021,0.0,0.00029743886714990453
13296,Antigua and Barbuda,2022,0.0,-0.004007357621681321
13297,Antigua and Barbuda,2023,0.0,-0.014020249110478708
13298,Antigua and Barbuda,2024,0.0,0.003498443684837621
13299,Antigua and Barbuda,2025,0.0,-0.005054798405575905
13300,Antigua and Barbuda,2026,0.0,0.010516839400780117
13301,Antigua and Barbuda,2027,0.0,-0.006299930198880227
13302,Antigua and Barbuda,2028,0.0,-0.0013064565675017098
13303,Antigua and Barbuda,2029,0.0,0.002687042807503953
13304,Antigua and Barbuda,2030,0.0,-0.0023224327944710438
13305,Antigua and Barbuda,2031,0.0,-0.006345800007071509
13306,Antigua and Barbuda,2032,0.0,-0.005934073928386227
13307,Antigua and Barbuda,2033,0.0,0.007636783543084516
13308,Antigua and Barbuda,2034,0.0,-0.001352301808330847
13309,Antigua and Barbuda,2035,0.0,-0.00033600332386569953
13310,Antigua and Barbuda,2036,0.0,-0.003332702265457968
13311,Antigua and Barbuda,2037,0.0,-0.0013267403571168568
13312,Antigua and Barbuda,2038,0.0,-0.0003083862681264732
13313,Antigua and Barbuda,2039,0.0,-0.0007101696864960372
13314,Antigua and Barbuda,2040,0.0,-0.0002271891290532152
13315,Antigua and Barbuda,2041,0.0,0.002255721844971012
13316,Antigua and Barbuda,2042,0.0,-0.016120899920717108
13317,Antigua and Barbuda,2043,0.0,0.005927792740571477
13318,Antigua and Barbuda,2044,0.0,-2.9166670609495626e-05
13319,Antigua and Barbuda,2045,0.0,-0.0014176767728601575
13320,Antigua and Barbuda,2046,0.0,0.005489491592887873
13321,Antigua and Barbuda,2047,0.0,-0.0029095099770811567
13322,Antigua and Barbuda,2048,0.0,-0.0018553990743465226
13323,Antigua and Barbuda,2049,0.0,0.004191561134456411
13324,Antigua and Barbuda,2050,0.0,-0.013190525334649775
13325,Argentina,2021,2.344,2.3502839621383305
13326,Argentina,2022,3.886,3.886126646608042
13327,Argentina,2023,3.718,3.7059997163499294
13328,Argentina,2024,3.565,3.5739483000126278
13329,Argentina,2025,3.423,3.4198963958342268
13330,Argentina,2026,3.286,3.2818363343570502
13331,Argentina,2027,3.149,3.1503487089765057
13332,Argentina,2028,3.011,3.012306091643916
13333,Argentina,2029,2.877,2.8777005839717433
13334,Argentina,2030,2.744,2.7486647179457644
13335,Argentina,2031,2.611,2.6106354571243897
13336,Argentina,2032,2.472,2.4706055108740346
13337,Argentina,2033,2.323,2.311570580535747
13338,Argentina,2034,2.153,2.164712376982706
13339,Argentina,2035,1.975,1.9662282860260123
13340,Argentina,2036,1.805,1.8046182847675285
13341,Argentina,2037,1.659,1.6641343270907836
13342,Argentina,2038,1.546,1.5385241676377075
13343,Argentina,2039,1.435,1.4310445405338248
13344,Argentina,2040,1.333,1.3250046915730482
13345,Argentina,2041,1.253,1.2589606272499763
13346,Argentina,2042,1.206,1.2083505809729085
13347,Argentina,2043,1.2,1.2053268890276323
13348,Argentina,2044,1.2,1.2024012252747571
13349,Argentina,2045,1.2,1.1918027118985068
13350,Argentina,2046,1.2,1.2072088214719763
13351,Argentina,2047,1.2,1.188745019070793
13352,Argentina,2048,1.2,1.2057127690283616
13353,Argentina,2049,1.2,1.1881268812579877
13354,Argentina,2050,1.2,1.1956582077761613
13355,Armenia,2021,-12.825,-12.81589676615427
13356,Armenia,2022,-5.0,-5.011236344485077
13357,Armenia,2023,-5.0,-4.998749838854943
13358,Armenia,2024,-5.0,-5.001887690353398
13359,Armenia,2025,-5.0,-5.00247100609716
13360,Armenia,2026,-5.0,-5.001618666580978
13361,Armenia,2027,-5.0,-5.0003139285388345
13362,Armenia,2028,-5.0,-4.990424179207119
13363,Armenia,2029,-5.0,-5.009946082549975
13364,Armenia,2030,-5.0,-5.005603754074617
13365,Armenia,2031,-5.0,-5.006674242708294
13366,Armenia,2032,-5.0,-4.994176472851747
13367,Armenia,2033,-5.0,-5.006782855274071
13368,Armenia,2034,-5.0,-4.989362355565804
13369,Armenia,2035,-5.0,-5.002806412219183
13370,Armenia,2036,-5.0,-5.0112582106343995
13371,Armenia,2037,-5.0,-4.992857110179689
13372,Armenia,2038,-5.0,-5.007881198916112
13373,Armenia,2039,-5.0,-4.998903109434634
13374,Armenia,2040,-5.0,-5.000903682354968
13375,Armenia,2041,-5.0,-4.996312609631121
13376,Armenia,2042,-5.0,-5.002816125962542
13377,Armenia,2043,-5.0,-5.004741210821829
13378,Armenia,2044,-5.0,-4.994635537860859
13379,Armenia,2045,-5.0,-5.002507080797477
13380,Armenia,2046,-5.0,-5.0048091374591435
13381,Armenia,2047,-5.0,-4.9952526342188515
13382,Armenia,2048,-5.0,-5.007203305383542
13383,Armenia,2049,-5.0,-5.0032431425278405
13384,Armenia,2050,-5.0,-4.998317301285087
13385,Aruba,2021,0.501,0.49833067855593954
13386,Aruba,2022,0.164,0.1598122351596791
13387,Aruba,2023,0.157,0.15477205799070567
13388,Aruba,2024,0.15,0.1457626279065514
13389,Aruba,2025,0.144,0.13932431843954102
13390,Aruba,2026,0.138,0.13977950481321672
13391,Aruba,2027,0.132,0.129244845500853
13392,Aruba,2028,0.126,0.11783465729498521
13393,Aruba,2029,0.121,0.12239971740533787
13394,Aruba,2030,0.116,0.11940302656391777
13395,Aruba,2031,0.111,0.10684714678296683
13396,Aruba,2032,0.106,0.11241117158153216
13397,Aruba,2033,0.102,0.08387957586074446
13398,Aruba,2034,0.097,0.10491081382279455
13399,Aruba,2035,0.093,0.0799742338307356
13400,Aruba,2036,0.089,0.0934871448117008
13401,Aruba,2037,0.085,0.08213551756165319
13402,Aruba,2038,0.082,0.08522938472935736
13403,Aruba,2039,0.078,0.07929968737726481
13404,Aruba,2040,0.075,0.06534839739733264
13405,Aruba,2041,0.071,0.07596214474802199
13406,Aruba,2042,0.068,0.055424369290247355
13407,Aruba,2043,0.065,0.06643543190210106
13408,Aruba,2044,0.062,0.07144235458462116
13409,Aruba,2045,0.059,0.05546628170802251
13410,Aruba,2046,0.056,0.0470472963946348
13411,Aruba,2047,0.054,0.05649850927048414
13412,Aruba,2048,0.054,0.04352051025885899
13413,Aruba,2049,0.054,0.06753189690142515
13414,Aruba,2050,0.054,0.050536481922570764
13415,Australia,2021,117.929,117.92112869365103
13416,Australia,2022,139.991,140.00893824119882
13417,Australia,2023,139.991,139.99093374907088
13418,Australia,2024,139.991,139.9859048939022
13419,Australia,2025,139.991,139.9938925951255
13420,Australia,2026,139.991,139.9868574590331
13421,Australia,2027,139.991,140.004821293333
13422,Australia,2028,139.991,139.97937935701125
13423,Australia,2029,139.991,140.0007910742841
13424,Australia,2030,139.991,139.98933921408465
13425,Australia,2031,139.991,139.9957520202264
13426,Australia,2032,139.991,139.98374219102345
13427,Australia,2033,139.991,139.9967507405651
13428,Australia,2034,139.991,139.9937579143135
13429,Australia,2035,139.991,139.99376417827577
13430,Australia,2036,139.991,139.99576440858945
13431,Australia,2037,139.991,139.99077423697835
13432,Australia,2038,139.991,139.99477910773484
13433,Australia,2039,139.991,139.98079750878824
13434,Australia,2040,139.991,139.99880241639318
13435,Australia,2041,139.991,139.99382717532288
13436,Australia,2042,139.991,139.99183998880574
13437,Australia,2043,139.991,139.98684081032036
13438,Australia,2044,139.991,139.9952796742582
13439,Australia,2045,139.991,139.99385356561964
13440,Australia,2046,139.991,139.99341797329188
13441,Australia,2047,139.991,139.98486663056383
13442,Australia,2048,139.991,139.99487101011525
13443,Australia,2049,139.991,139.99288233013087
13444,Australia,2050,139.991,139.9938725180376
13445,Austria,2021,20.314,20.311369597800194
13446,Austria,2022,19.999,19.992827688577844
13447,Austria,2023,19.999,20.009830352484432
13448,Austria,2024,19.999,19.994839506490866
13449,Austria,2025,19.999,19.99586130351645
13450,Austria,2026,19.999,20.007870315728734
13451,Austria,2027,19.999,19.987870701380096
13452,Austria,2028,19.999,20.000880543030153
13453,Austria,2029,19.999,20.003890544330986
13454,Austria,2030,19.999,19.991876239676802
13455,Austria,2031,19.999,19.991439304637247
13456,Austria,2032,19.999,20.006889932243773
13457,Austria,2033,19.999,19.99487301379095
13458,Austria,2034,19.999,20.002869824758854
13459,Austria,2035,19.999,19.999420019276954
13460,Austria,2036,19.999,19.99529480294109
13461,Austria,2037,19.999,20.00285263320197
13462,Austria,2038,19.999,19.989834058336466
13463,Austria,2039,19.999,20.005268842879186
13464,Austria,2040,19.999,19.998823619528732
13465,Austria,2041,19.999,20.0012435063364
13466,Austria,2042,19.999,20.003804353006135
13467,Austria,2043,19.999,19.98579172644224
13468,Austria,2044,19.999,19.998815559385044
13469,Austria,2045,19.999,20.004838820482618
13470,Austria,2046,19.999,19.99641241074064
13471,Austria,2047,19.999,20.00287061029542
13472,Austria,2048,19.999,19.9999167320048
13473,Austria,2049,19.999,19.992506031808798
13474,Austria,2050,19.999,19.99998021846788
13475,Azerbaijan,2021,1.084,1.0819330174971502
13476,Azerbaijan,2022,0.0,-0.00991827488156502
13477,Azerbaijan,2023,0.0,0.0050364718640828615
13478,Azerbaijan,2024,0.0,0.00563242578673508
13479,Azerbaijan,2025,0.0,-0.0014424370360881858
13480,Azerbaijan,2026,0.0,-0.007502666465112995
13481,Azerbaijan,2027,0.0,0.0024517497262225366
13482,Azerbaijan,2028,0.0,-0.0045914993851029415
13483,Azerbaijan,2029,0.0,0.004373717774800178
13484,Azerbaijan,2030,0.0,-0.004660089353784369
13485,Azerbaijan,2031,0.0,-0.0026807049088167917
13486,Azerbaijan,2032,0.0,-0.0037056126549389404
13487,Azerbaijan,2033,0.0,0.006292256931577159
13488,Azerbaijan,2034,0.0,-0.004721750343317531
13489,Azerbaijan,2035,0.0,0.0012508751301174917
13490,Azerbaijan,2036,0.0,0.0032465879338323816
13491,Azerbaijan,2037,0.0,-0.011772648119785095
13492,Azerbaijan,2038,0.0,-0.003788242353350714
13493,Azerbaijan,2039,0.0,0.012179731377183256
13494,Azerbaijan,2040,0.0,-0.009836312816677732
13495,Azerbaijan,2041,0.0,-0.003839238298297111
13496,Azerbaijan,2042,0.0,0.001151243559499568
13497,Azerbaijan,2043,0.0,-0.00884073033722544
13498,Azerbaijan,2044,0.0,-0.0008416860317448857
13499,Azerbaijan,2045,0.0,0.003165305579721639
13500,Azerbaijan,2046,0.0,-0.0032624460582755047
13501,Azerbaijan,2047,0.0,-0.0068235539099443035
13502,Azerbaijan,2048,0.0,0.0041709063602580684
13503,Azerbaijan,2049,0.0,0.00016688028918945136
13504,Azerbaijan,2050,0.0,-0.013836838833025833
13505,Bahamas,2021,0.485,0.47810527355652194
13506,Bahamas,2022,1.0,1.0017395150325226
13507,Bahamas,2023,1.0,0.9941354552978794
13508,Bahamas,2024,1.0,1.0052376003960968
13509,Bahamas,2025,1.0,0.9960977012147073
13510,Bahamas,2026,1.0,0.9936281241144201
13511,Bahamas,2027,1.0,1.0040352926254539
13512,Bahamas,2028,1.0,0.9931674114140027
13513,Bahamas,2029,1.0,1.0010454273047524
13514,Bahamas,2030,1.0,0.9915974954951072
13515,Bahamas,2031,1.0,1.0055962855522933
13516,Bahamas,2032,1.0,0.9902603477518823
13517,Bahamas,2033,1.0,1.0052352376732148
13518,Bahamas,2034,1.0,0.9946587384476243
13519,Bahamas,2035,1.0,1.0041818634552317
13520,Bahamas,2036,1.0,0.9885857417804284
13521,Bahamas,2037,1.0,1.0045702185923617
13522,Bahamas,2038,1.0,0.9961337033204551
13523,Bahamas,2039,1.0,0.9991461933145068
13524,Bahamas,2040,1.0,0.9951440875837944
13525,Bahamas,2041,1.0,1.001682210912773
13526,Bahamas,2042,1.0,0.9971006500493195
13527,Bahamas,2043,1.0,0.9970708898074242
13528,Bahamas,2044,1.0,0.9870678158218025
13529,Bahamas,2045,1.0,1.0120479958147768
13530,Bahamas,2046,1.0,1.003011986554877
13531,Bahamas,2047,1.0,0.9869780833089087
13532,Bahamas,2048,1.0,0.9999752962149017
13533,Bahamas,2049,1.0,0.9979973259323396
13534,Bahamas,2050,1.0,1.0040166765175134
13535,Bahrain,2021,-9.15,-9.145405535575554
13536,Bahrain,2022,0.0,-0.005687027084606583
13537,Bahrain,2023,0.0,-0.0036488477973355346
13538,Bahrain,2024,0.0,0.007844012547739632
13539,Bahrain,2025,0.0,-0.011094616046854328
13540,Bahrain,2026,0.0,-0.004058487827932937
13541,Bahrain,2027,0.0,-0.006041353845418589
13542,Bahrain,2028,0.0,-0.0020125237201169127
13543,Bahrain,2029,0.0,0.00401914235852717
13544,Bahrain,2030,0.0,-0.016946897683018783
13545,Bahrain,2031,0.0,8.687784170181151e-05
13546,Bahrain,2032,0.0,-0.0038760193291625597
13547,Bahrain,2033,0.0,0.001633448969264338
13548,Bahrain,2034,0.0,-0.004713850405904593
13549,Bahrain,2035,0.0,-0.0016090324434505504
13550,Bahrain,2036,0.0,-0.005489502166553514
13551,Bahrain,2037,0.0,-0.006922138557167071
13552,Bahrain,2038,0.0,0.0037589918677244094
13553,Bahrain,2039,0.0,0.0038870143725045596
13554,Bahrain,2040,0.0,-0.005998837558581736
13555,Bahrain,2041,0.0,0.0005496711247464578
13556,Bahrain,2042,0.0,-0.003786795450688711
13557,Bahrain,2043,0.0,0.0008788159689451791
13558,Bahrain,2044,0.0,-0.0055846563674891575
13559,Bahrain,2045,0.0,-0.00548830183219759
13560,Bahrain,2046,0.0,0.0035997818640182977
13561,Bahrain,2047,0.0,-0.004323241372623889
13562,Bahrain,2048,0.0,0.006741494779357003
13563,Bahrain,2049,0.0,-0.010632085657991806
13564,Bahrain,2050,0.0,0.003859714130985653
13565,Bangladesh,2021,-174.5,-174.50943818696007
13566,Bangladesh,2022,-309.977,-309.9866969919451
13567,Bangladesh,2023,-309.977,-309.9722176484588
13568,Bangladesh,2024,-309.977,-309.9722792955769
13569,Bangladesh,2025,-309.977,-309.99335551531647
13570,Bangladesh,2026,-309.977,-309.9754402838864
13571,Bangladesh,2027,-309.977,-309.9855058439067
13572,Bangladesh,2028,-309.977,-309.9785734438201
13573,Bangladesh,2029,-309.977,-309.9776330717503
13574,Bangladesh,2030,-309.977,-309.9792557176341
13575,Bangladesh,2031,-309.977,-309.9801830780944
13576,Bangladesh,2032,-309.977,-309.9823555896163
13577,Bangladesh,2033,-309.977,-309.9828341638104
13578,Bangladesh,2034,-309.977,-309.9868675451588
13579,Bangladesh,2035,-309.977,-309.97589789688925
13580,Bangladesh,2036,-309.977,-309.97992243049913
13581,Bangladesh,2037,-309.977,-309.9879484988962
13582,Bangladesh,2038,-309.977,-309.98040208289774
13583,Bangladesh,2039,-309.977,-309.9799746704126
13584,Bangladesh,2040,-309.977,-309.9877747571105
13585,Bangladesh,2041,-309.977,-309.9749377084139
13586,Bangladesh,2042,-309.977,-309.9874169651614
13587,Bangladesh,2043,-309.977,-309.9774582090486
13588,Bangladesh,2044,-309.977,-309.9850796982783
13589,Bangladesh,2045,-309.977,-309.977565918662
13590,Bangladesh,2046,-309.977,-309.97960845199935
13591,Bangladesh,2047,-309.977,-309.9900919370886
13592,Bangladesh,2048,-309.977,-309.9751204306212
13593,Bangladesh,2049,-309.977,-309.9931423562883
13594,Bangladesh,2050,-309.977,-309.9767131230132
13595,Barbados,2021,-0.028,-0.03324775469470983
13596,Barbados,2022,-0.08,-0.08138808017242868
13597,Barbados,2023,-0.08,-0.08596005600494738
13598,Barbados,2024,-0.08,-0.07639932456520443
13599,Barbados,2025,-0.08,-0.08540250995951706
13600,Barbados,2026,-0.08,-0.08198875202871345
13601,Barbados,2027,-0.08,-0.07887848512127632
13602,Barbados,2028,-0.08,-0.08344347508222713
13603,Barbados,2029,-0.08,-0.07843263825011698
13604,Barbados,2030,-0.08,-0.08541825903019834
13605,Barbados,2031,-0.08,-0.0743837115163494
13606,Barbados,2032,-0.08,-0.08635428606243187
13607,Barbados,2033,-0.08,-0.08632500153163608
13608,Barbados,2034,-0.08,-0.07130501464296166
13609,Barbados,2035,-0.08,-0.08469705523751911
13610,Barbados,2036,-0.08,-0.08478889093546671
13611,Barbados,2037,-0.08,-0.07174718227231772
13612,Barbados,2038,-0.08,-0.08713677785539622
13613,Barbados,2039,-0.08,-0.07408733695230729
13614,Barbados,2040,-0.08,-0.09304520369314931
13615,Barbados,2041,-0.08,-0.07000008488438711
13616,Barbados,2042,-0.08,-0.09152199341361233
13617,Barbados,2043,-0.08,-0.07149150383165631
13618,Barbados,2044,-0.08,-0.08889395916970691
13619,Barbados,2045,-0.08,-0.08042365057335221
13620,Barbados,2046,-0.08,-0.08283425332640296
13621,Barbados,2047,-0.08,-0.07282388881727583
13622,Barbados,2048,-0.08,-0.0893609632221316
13623,Barbados,2049,-0.08,-0.0697833654652169
13624,Barbados,2050,-0.08,-0.08575698033470824
13625,Belarus,2021,12.961,12.958042900078357
13626,Belarus,2022,30.308,30.319407547666117
13627,Belarus,2023,-4.282,-4.288301952512676
13628,Belarus,2024,-2.462,-2.448358775983621
13629,Belarus,2025,-0.641,-0.6489758791692489
13630,Belarus,2026,1.635,1.632001156919203
13631,Belarus,2027,2.545,2.552549496709915
13632,Belarus,2028,3.0,2.9979714351841995
13633,Belarus,2029,3.0,2.9985119662321438
13634,Belarus,2030,3.0,3.001042210197175
13635,Belarus,2031,3.0,3.004460322555313
13636,Belarus,2032,3.0,2.99544910598293
13637,Belarus,2033,3.0,2.994868938669317
13638,Belarus,2034,3.0,3.0004235903243464
13639,Belarus,2035,3.0,2.9994159229084945
13640,Belarus,2036,3.0,2.994967654385487
13641,Belarus,2037,3.0,3.0159659089295907
13642,Belarus,2038,3.0,2.9948493222009076
13643,Belarus,2039,3.0,2.994415452450229
13644,Belarus,2040,3.0,3.0084210709663215
13645,Belarus,2041,3.0,2.99643726274683
13646,Belarus,2042,3.0,2.9958873612248906
13647,Belarus,2043,3.0,3.00446359364571
13648,Belarus,2044,3.0,2.998485094547675
13649,Belarus,2045,3.0,2.9905071661244653
13650,Belarus,2046,3.0,3.005957917390459
13651,Belarus,2047,3.0,3.0035196399368207
13652,Belarus,2048,3.0,2.9915112602261305
13653,Belarus,2049,3.0,2.9965026729345836
13654,Belarus,2050,3.0,2.999933969208023
13655,Belgium,2021,52.356,52.351061240993
13656,Belgium,2022,23.999,23.996031862147486
13657,Belgium,2023,23.999,24.00602090428228
13658,Belgium,2024,23.999,23.9915763847732
13659,Belgium,2025,23.999,23.99300244511918
13660,Belgium,2026,23.999,24.0010016348382
13661,Belgium,2027,23.999,23.999558311489526
13662,Belgium,2028,23.999,24.00200001191497
13663,Belgium,2029,23.999,23.995994391254587
13664,Belgium,2030,23.999,23.999431888749292
13665,Belgium,2031,23.999,24.00243967235842
13666,Belgium,2032,23.999,23.999001658112885
