,Country,Time,Actual_Net_Migration,Predicted_Net_Migration
13115,Afghanistan,2021,-183.672,-183.65129449782933
13116,Afghanistan,2022,-65.846,-65.84142264301839
13117,Afghanistan,2023,-65.846,-65.84831648749012
13118,Afghanistan,2024,-65.846,-65.85423218890239
13119,Afghanistan,2025,-65.846,-65.83919210008015
13120,Afghanistan,2026,-65.846,-65.84464086950341
13121,Afghanistan,2027,-65.846,-65.85221946914008
13122,Afghanistan,2028,-65.912,-65.91080613245055
13123,Afghanistan,2029,-65.224,-65.22168976842923
13124,Afghanistan,2030,-64.185,-64.1962609335801
13125,Afghanistan,2031,-63.146,-63.14330271751679
13126,Afghanistan,2032,-62.458,-62.46288217321596
13127,Afghanistan,2033,-62.355,-62.34735684835348
13128,Afghanistan,2034,-62.355,-62.359821214248996
13129,Afghanistan,2035,-62.356,-62.36041479496806
13130,Afghanistan,2036,-62.356,-62.35843491718844
13131,Afghanistan,2037,-62.356,-62.35101717383426
13132,Afghanistan,2038,-62.354,-62.35447941262666
13133,Afghanistan,2039,-62.336,-62.334933623279
13134,Afghanistan,2040,-62.305,-62.3225122647632
13135,Afghanistan,2041,-62.268,-62.26053813978681
13136,Afghanistan,2042,-62.23,-62.24055549400614
13137,Afghanistan,2043,-62.193,-62.18958987234245
13138,Afghanistan,2044,-62.144,-62.15361257816847
13139,Afghanistan,2045,-62.091,-62.086655668343454
13140,Afghanistan,2046,-62.044,-62.055128828566744
13141,Afghanistan,2047,-62.015,-62.01174519318479
13142,Afghanistan,2048,-62.011,-62.015232010641114
13143,Afghanistan,2049,-62.011,-62.006292455680004
13144,Afghanistan,2050,-62.011,-62.016350343543714
13145,Albania,2021,-10.612,-10.612825096951891
13146,Albania,2022,-8.0,-7.998266504989324
13147,Albania,2023,-8.0,-7.995336293186751
13148,Albania,2024,-8.0,-8.01558883299111
13149,Albania,2025,-8.0,-8.002563984738712
13150,Albania,2026,-8.0,-7.994961250955161
13151,Albania,2027,-8.0,-7.997935683169471
13152,Albania,2028,-8.0,-8.004456123882356
13153,Albania,2029,-8.0,-8.006416256279143
13154,Albania,2030,-8.0,-7.997813880109964
13155,Albania,2031,-8.0,-7.992341745743687
13156,Albania,2032,-8.0,-7.999895957752267
13157,Albania,2033,-8.0,-8.005301008084386
13158,Albania,2034,-8.0,-8.007271862438218
13159,Albania,2035,-8.0,-7.991239390036748
13160,Albania,2036,-8.0,-8.000779693562658
13161,Albania,2037,-8.0,-8.008172233941938
13162,Albania,2038,-8.0,-8.003138799436284
13163,Albania,2039,-8.0,-7.995103414399255
13164,Albania,2040,-8.0,-7.991619562691797
13165,Albania,2041,-8.0,-8.004027355202627
13166,Albania,2042,-8.0,-8.004007168387488
13167,Albania,2043,-8.0,-7.998950781572775
13168,Albania,2044,-8.0,-7.999458698724233
13169,Albania,2045,-8.0,-8.012867863171456
13170,Albania,2046,-8.0,-7.994823349040528
13171,Albania,2047,-8.0,-7.995795779993069
13172,Albania,2048,-8.0,-7.996741612867256
13173,Albania,2049,-8.0,-8.002718078739495
13174,Albania,2050,-8.0,-8.004684387228739
13175,Algeria,2021,-18.797,-18.799958656401454
