,Index,destination,destination_code,origin,origin_code,1990_total,1995_total,2000_total,2005_total,2010_total,2015_total,2020_total,1990_males,1995_males,2000_males,2005_males,2010_males,2015_males,2020_males,1990_females,1995_females,2000_females,2005_females,2010_females,2015_females,2020_females
27285,27286,LATIN AMERICA AND THE CARIBBEAN,904,AFRICA,903,19192.0,19478.0,20285.0,21850.0,27847.0,39533.0,48791.0,10213.0,10364.0,10829.0,11549.0,15400.0,24019.0,30958.0,8979.0,9114.0,9456.0,10301.0,12447.0,15514.0,17833.0
27291,27292,LATIN AMERICA AND THE CARIBBEAN,904,ASIA,935,263267.0,258892.0,258933.0,264943.0,285869.0,341807.0,402369.0,144347.0,141618.0,141317.0,145688.0,159370.0,196097.0,238299.0,118920.0,117274.0,117616.0,119255.0,126499.0,145710.0,164070.0
27297,27298,LATIN AMERICA AND THE CARIBBEAN,904,EUROPE,908,1817209.0,1600698.0,1396387.0,1248692.0,1147896.0,1291715.0,1355886.0,930072.0,817812.0,712751.0,639480.0,590845.0,663122.0,704491.0,887137.0,782886.0,683636.0,609212.0,557051.0,628593.0,651395.0
27302,27303,LATIN AMERICA AND THE CARIBBEAN,904,LATIN AMERICA AND THE CARIBBEAN,904,3980808.0,3670383.0,3777576.0,4357513.0,5344184.0,6166726.0,11297173.0,1975515.0,1814401.0,1858809.0,2124686.0,2598130.0,3040982.0,5626827.0,2005293.0,1855982.0,1918767.0,2232827.0,2746054.0,3125744.0,5670346.0
27306,27307,LATIN AMERICA AND THE CARIBBEAN,904,NORTHERN AMERICA,905,602762.0,688958.0,796397.0,967044.0,1198308.0,1182133.0,1293053.0,296712.0,341196.0,397354.0,486478.0,608846.0,594523.0,662046.0,306050.0,347762.0,399043.0,480566.0,589462.0,587610.0,631007.0
27307,27308,LATIN AMERICA AND THE CARIBBEAN,904,OCEANIA,909,2552.0,2912.0,3400.0,3585.0,4249.0,4723.0,5630.0,1290.0,1478.0,1733.0,1961.0,2499.0,2813.0,3415.0,1262.0,1434.0,1667.0,1624.0,1750.0,1910.0,2215.0
33095,33096,NORTHERN AMERICA,905,AFRICA,903,548628.0,826822.0,1115964.0,1524859.0,1984391.0,2663579.0,3268757.0,287454.0,440899.0,600523.0,787971.0,1004403.0,1328799.0,1615287.0,261174.0,385923.0,515441.0,736888.0,979988.0,1334780.0,1653470.0
33101,33102,NORTHERN AMERICA,905,ASIA,935,6181878.0,8290114.0,10466666.0,12195799.0,14250937.0,17273538.0,17549235.0,3000088.0,4060397.0,5160051.0,5954940.0,6861992.0,8221103.0,8348222.0,3181790.0,4229717.0,5306615.0,6240859.0,7388945.0,9052435.0,9201013.0
33107,33108,NORTHERN AMERICA,905,EUROPE,908,6645283.0,6859869.0,7126994.0,6988925.0,7081741.0,6926249.0,6869872.0,3130884.0,3246551.0,3392133.0,3358596.0,3353696.0,3284835.0,3252887.0,3514399.0,3613318.0,3734861.0,3630329.0,3728045.0,3641414.0,3616985.0
33112,33113,NORTHERN AMERICA,905,LATIN AMERICA AND THE CARIBBEAN,904,9976169.0,14269456.0,18644817.0,21019256.0,24134573.0,24980329.0,25535633.0,4985446.0,7155663.0,9371280.0,10617607.0,12001091.0,12384729.0,12498762.0,4990723.0,7113793.0,9273537.0,10401649.0,12133482.0,12595600.0,13036871.0
33116,33117,NORTHERN AMERICA,905,NORTHERN AMERICA,905,999977.0,1054522.0,1113881.0,1132443.0,1149471.0,1100000.0,1088520.0,369913.0,390326.0,413342.0,420944.0,414322.0,390661.0,389003.0,630064.0,664196.0,700539.0,711499.0,735149.0,709339.0,699517.0
33117,33118,NORTHERN AMERICA,905,OCEANIA,909,135857.0,175797.0,217378.0,230353.0,245006.0,280255.0,343625.0,58007.0,76102.0,95096.0,101485.0,106169.0,119955.0,146362.0,77850.0,99695.0,122282.0,128868.0,138837.0,160300.0,197263.0
34029,34030,OCEANIA,909,AFRICA,903,161958.0,182018.0,228860.0,327671.0,435368.0,505762.0,587673.0,82458.0,92215.0,115414.0,165908.0,220233.0,256106.0,296252.0,79500.0,89803.0,113446.0,161763.0,215135.0,249656.0,291421.0
34035,34036,OCEANIA,909,ASIA,935,1083892.0,1266979.0,1460202.0,1862130.0,2575590.0,3232023.0,4050511.0,541096.0,621031.0,703701.0,893767.0,1255312.0,1567871.0,1968436.0,542796.0,645948.0,756501.0,968363.0,1320278.0,1664152.0,2082075.0
34041,34042,OCEANIA,909,EUROPE,908,2645368.0,2652213.0,2634134.0,2658354.0,2749003.0,2785934.0,2983395.0,1363071.0,1357363.0,1337062.0,1340688.0,1381002.0,1406694.0,1499791.0,1282297.0,1294850.0,1297072.0,1317666.0,1368001.0,1379240.0,1483604.0
34046,34047,OCEANIA,909,LATIN AMERICA AND THE CARIBBEAN,904,83101.0,87912.0,89230.0,102885.0,132154.0,164648.0,214569.0,40786.0,42709.0,43009.0,49425.0,63800.0,79593.0,103380.0,42315.0,45203.0,46221.0,53460.0,68354.0,85055.0,111189.0
34050,34051,OCEANIA,909,NORTHERN AMERICA,905,132617.0,134812.0,139466.0,160472.0,185734.0,216252.0,254319.0,71452.0,72042.0,72222.0,81359.0,92459.0,108622.0,124579.0,61165.0,62770.0,67244.0,79113.0,93275.0,107630.0,129740.0
34051,34052,OCEANIA,909,OCEANIA,909,579083.0,615135.0,701708.0,794419.0,918504.0,1013250.0,1107706.0,292643.0,308718.0,353227.0,400269.0,464235.0,512709.0,558116.0,286440.0,306417.0,348481.0,394150.0,454269.0,500541.0,549590.0
