,Index,destination,destination_code,origin,origin_code,Year,value
614,27286,LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2015,39533
615,27286,LATIN AMERICA AND THE CARIBBEAN_d,904,AFRICA,903,2020,48791
630,27292,LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,1990,263267
631,27292,LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,1995,258892
632,27292,LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,2000,258933
633,27292,LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,2005,264943
634,27292,LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,2010,285869
635,27292,LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,2015,341807
636,27292,LATIN AMERICA AND THE CARIBBEAN_d,904,ASIA,935,2020,402369
651,27298,LATIN AMERICA AND THE CARIBBEAN_d,904,EUROPE,908,1990,1817209
652,27298,LATIN AMERICA AND THE CARIBBEAN_d,904,EUROPE,908,1995,1600698
653,27298,LATIN AMERICA AND THE CARIBBEAN_d,904,EUROPE,908,2000,1396387
654,27298,LATIN AMERICA AND THE CARIBBEAN_d,904,EUROPE,908,2005,1248692
655,27298,LATIN AMERICA AND THE CARIBBEAN_d,904,EUROPE,908,2010,1147896
656,27298,LATIN AMERICA AND THE CARIBBEAN_d,904,EUROPE,908,2015,1291715
657,27298,LATIN AMERICA AND THE CARIBBEAN_d,904,EUROPE,908,2020,1355886
672,27303,LATIN AMERICA AND THE CARIBBEAN_d,904,LATIN AMERICA AND THE CARIBBEAN,904,1990,3980808
673,27303,LATIN AMERICA AND THE CARIBBEAN_d,904,LATIN AMERICA AND THE CARIBBEAN,904,1995,3670383
674,27303,LATIN AMERICA AND THE CARIBBEAN_d,904,LATIN AMERICA AND THE CARIBBEAN,904,2000,3777576
675,27303,LATIN AMERICA AND THE CARIBBEAN_d,904,LATIN AMERICA AND THE CARIBBEAN,904,2005,4357513
676,27303,LATIN AMERICA AND THE CARIBBEAN_d,904,LATIN AMERICA AND THE CARIBBEAN,904,2010,5344184
677,27303,LATIN AMERICA AND THE CARIBBEAN_d,904,LATIN AMERICA AND THE CARIBBEAN,904,2015,6166726
678,27303,LATIN AMERICA AND THE CARIBBEAN_d,904,LATIN AMERICA AND THE CARIBBEAN,904,2020,11297173
693,27307,LATIN AMERICA AND THE CARIBBEAN_d,904,NORTHERN AMERICA,905,1990,602762
694,27307,LATIN AMERICA AND THE CARIBBEAN_d,904,NORTHERN AMERICA,905,1995,688958
695,27307,LATIN AMERICA AND THE CARIBBEAN_d,904,NORTHERN AMERICA,905,2000,796397
696,27307,LATIN AMERICA AND THE CARIBBEAN_d,904,NORTHERN AMERICA,905,2005,967044
697,27307,LATIN AMERICA AND THE CARIBBEAN_d,904,NORTHERN AMERICA,905,2010,1198308
698,27307,LATIN AMERICA AND THE CARIBBEAN_d,904,NORTHERN AMERICA,905,2015,1182133
699,27307,LATIN AMERICA AND THE CARIBBEAN_d,904,NORTHERN AMERICA,905,2020,1293053
714,27308,LATIN AMERICA AND THE CARIBBEAN_d,904,OCEANIA,909,1990,2552
715,27308,LATIN AMERICA AND THE CARIBBEAN_d,904,OCEANIA,909,1995,2912
716,27308,LATIN AMERICA AND THE CARIBBEAN_d,904,OCEANIA,909,2000,3400
717,27308,LATIN AMERICA AND THE CARIBBEAN_d,904,OCEANIA,909,2005,3585
718,27308,LATIN AMERICA AND THE CARIBBEAN_d,904,OCEANIA,909,2010,4249
719,27308,LATIN AMERICA AND THE CARIBBEAN_d,904,OCEANIA,909,2015,4723
720,27308,LATIN AMERICA AND THE CARIBBEAN_d,904,OCEANIA,909,2020,5630
756,33096,NORTHERN AMERICA_d,905,AFRICA,903,1990,548628
757,33096,NORTHERN AMERICA_d,905,AFRICA,903,1995,826822
758,33096,NORTHERN AMERICA_d,905,AFRICA,903,2000,1115964
759,33096,NORTHERN AMERICA_d,905,AFRICA,903,2005,1524859
760,33096,NORTHERN AMERICA_d,905,AFRICA,903,2010,1984391
761,33096,NORTHERN AMERICA_d,905,AFRICA,903,2015,2663579
762,33096,NORTHERN AMERICA_d,905,AFRICA,903,2020,3268757
777,33102,NORTHERN AMERICA_d,905,ASIA,935,1990,6181878
778,33102,NORTHERN AMERICA_d,905,ASIA,935,1995,8290114
779,33102,NORTHERN AMERICA_d,905,ASIA,935,2000,10466666
780,33102,NORTHERN AMERICA_d,905,ASIA,935,2005,12195799
781,33102,NORTHERN AMERICA_d,905,ASIA,935,2010,14250937
782,33102,NORTHERN AMERICA_d,905,ASIA,935,2015,17273538
783,33102,NORTHERN AMERICA_d,905,ASIA,935,2020,17549235
798,33108,NORTHERN AMERICA_d,905,EUROPE,908,1990,6645283
799,33108,NORTHERN AMERICA_d,905,EUROPE,908,1995,6859869
800,33108,NORTHERN AMERICA_d,905,EUROPE,908,2000,7126994
801,33108,NORTHERN AMERICA_d,905,EUROPE,908,2005,6988925
802,33108,NORTHERN AMERICA_d,905,EUROPE,908,2010,7081741
803,33108,NORTHERN AMERICA_d,905,EUROPE,908,2015,6926249
804,33108,NORTHERN AMERICA_d,905,EUROPE,908,2020,6869872
819,33113,NORTHERN AMERICA_d,905,LATIN AMERICA AND THE CARIBBEAN,904,1990,9976169
820,33113,NORTHERN AMERICA_d,905,LATIN AMERICA AND THE CARIBBEAN,904,1995,14269456
821,33113,NORTHERN AMERICA_d,905,LATIN AMERICA AND THE CARIBBEAN,904,2000,18644817
822,33113,NORTHERN AMERICA_d,905,LATIN AMERICA AND THE CARIBBEAN,904,2005,21019256
823,33113,NORTHERN AMERICA_d,905,LATIN AMERICA AND THE CARIBBEAN,904,2010,24134573
824,33113,NORTHERN AMERICA_d,905,LATIN AMERICA AND THE CARIBBEAN,904,2015,24980329
825,33113,NORTHERN AMERICA_d,905,LATIN AMERICA AND THE CARIBBEAN,904,2020,25535633
840,33117,NORTHERN AMERICA_d,905,NORTHERN AMERICA,905,1990,999977
841,33117,NORTHERN AMERICA_d,905,NORTHERN AMERICA,905,1995,1054522
842,33117,NORTHERN AMERICA_d,905,NORTHERN AMERICA,905,2000,1113881
843,33117,NORTHERN AMERICA_d,905,NORTHERN AMERICA,905,2005,1132443
844,33117,NORTHERN AMERICA_d,905,NORTHERN AMERICA,905,2010,1149471
845,33117,NORTHERN AMERICA_d,905,NORTHERN AMERICA,905,2015,1100000
846,33117,NORTHERN AMERICA_d,905,NORTHERN AMERICA,905,2020,1088520
861,33118,NORTHERN AMERICA_d,905,OCEANIA,909,1990,135857
862,33118,NORTHERN AMERICA_d,905,OCEANIA,909,1995,175797
863,33118,NORTHERN AMERICA_d,905,OCEANIA,909,2000,217378
864,33118,NORTHERN AMERICA_d,905,OCEANIA,909,2005,230353
865,33118,NORTHERN AMERICA_d,905,OCEANIA,909,2010,245006
866,33118,NORTHERN AMERICA_d,905,OCEANIA,909,2015,280255
867,33118,NORTHERN AMERICA_d,905,OCEANIA,909,2020,343625
903,34030,OCEANIA_d,909,AFRICA,903,1990,161958
904,34030,OCEANIA_d,909,AFRICA,903,1995,182018
905,34030,OCEANIA_d,909,AFRICA,903,2000,228860
906,34030,OCEANIA_d,909,AFRICA,903,2005,327671
907,34030,OCEANIA_d,909,AFRICA,903,2010,435368
908,34030,OCEANIA_d,909,AFRICA,903,2015,505762
909,34030,OCEANIA_d,909,AFRICA,903,2020,587673
924,34036,OCEANIA_d,909,ASIA,935,1990,1083892
925,34036,OCEANIA_d,909,ASIA,935,1995,1266979
926,34036,OCEANIA_d,909,ASIA,935,2000,1460202
927,34036,OCEANIA_d,909,ASIA,935,2005,1862130
928,34036,OCEANIA_d,909,ASIA,935,2010,2575590
929,34036,OCEANIA_d,909,ASIA,935,2015,3232023
930,34036,OCEANIA_d,909,ASIA,935,2020,4050511
945,34042,OCEANIA_d,909,EUROPE,908,1990,2645368
946,34042,OCEANIA_d,909,EUROPE,908,1995,2652213
947,34042,OCEANIA_d,909,EUROPE,908,2000,2634134
948,34042,OCEANIA_d,909,EUROPE,908,2005,2658354
949,34042,OCEANIA_d,909,EUROPE,908,2010,2749003
950,34042,OCEANIA_d,909,EUROPE,908,2015,2785934
951,34042,OCEANIA_d,909,EUROPE,908,2020,2983395
966,34047,OCEANIA_d,909,LATIN AMERICA AND THE CARIBBEAN,904,1990,83101
967,34047,OCEANIA_d,909,LATIN AMERICA AND THE CARIBBEAN,904,1995,87912
968,34047,OCEANIA_d,909,LATIN AMERICA AND THE CARIBBEAN,904,2000,89230
969,34047,OCEANIA_d,909,LATIN AMERICA AND THE CARIBBEAN,904,2005,102885
970,34047,OCEANIA_d,909,LATIN AMERICA AND THE CARIBBEAN,904,2010,132154
971,34047,OCEANIA_d,909,LATIN AMERICA AND THE CARIBBEAN,904,2015,164648
972,34047,OCEANIA_d,909,LATIN AMERICA AND THE CARIBBEAN,904,2020,214569
987,34051,OCEANIA_d,909,NORTHERN AMERICA,905,1990,132617
988,34051,OCEANIA_d,909,NORTHERN AMERICA,905,1995,134812
989,34051,OCEANIA_d,909,NORTHERN AMERICA,905,2000,139466
990,34051,OCEANIA_d,909,NORTHERN AMERICA,905,2005,160472
991,34051,OCEANIA_d,909,NORTHERN AMERICA,905,2010,185734
992,34051,OCEANIA_d,909,NORTHERN AMERICA,905,2015,216252
993,34051,OCEANIA_d,909,NORTHERN AMERICA,905,2020,254319
1008,34052,OCEANIA_d,909,OCEANIA,909,1990,579083
1009,34052,OCEANIA_d,909,OCEANIA,909,1995,615135
1010,34052,OCEANIA_d,909,OCEANIA,909,2000,701708
1011,34052,OCEANIA_d,909,OCEANIA,909,2005,794419
1012,34052,OCEANIA_d,909,OCEANIA,909,2010,918504
1013,34052,OCEANIA_d,909,OCEANIA,909,2015,1013250
1014,34052,OCEANIA_d,909,OCEANIA,909,2020,1107706
